tokens;labels;
Nebraska;6;5
"# New sentence = ; 2006 – Scott-Marcondes Cesar-São José dos Campos";;0
";";0;0
2006;0;0
–;0;0
Scott-Marcondes;3;1
Cesar-São;4;2
José;4;2
dos;4;2
Campos;4;2
# New sentence = Johann Jacob Walther ( 1650–1717 );;0
Johann;1;1
Jacob;2;2
Walther;2;2
(;0;0
1650–1717;0;0
);0;0
# New sentence = Patrick Fani Chakaipa ( 31 May 1976 Appointed - 8 Apr 2003 Died );;0
Patrick;1;1
Fani;2;2
Chakaipa;2;2
(;0;0
31;0;0
May;0;0
1976;0;0
Appointed;0;0
-;0;0
8;0;0
Apr;0;0
2003;0;0
Died;0;0
);0;0
# New sentence = Communes of the Maine-et-Loire department;;0
Communes;0;0
of;0;0
the;0;0
Maine-et-Loire;3;5
department;4;0
# New sentence = KLH Chomutov – HC Dukla Jihlava ' '' 4:2 '' ' ( 2:0 , 1:1 , 1:1 );;0
KLH;3;3
Chomutov;4;4
–;0;0
HC;3;3
Dukla;4;4
Jihlava;4;4
';0;0
'';0;0
04.02;0;0
'';0;0
';0;0
(;0;0
02.00;0;0
,;0;0
01.01;0;0
,;0;0
01.01;0;0
);0;0
# New sentence = Causantín mac Cináeda;;0
Causantín;1;1
mac;2;2
Cináeda;2;2
# New sentence = The Spark ( song );;0
The;0;0
Spark;0;0
(;0;0
song;0;0
);0;0
# New sentence = List of highways in San Antonio , Texas;;0
List;0;0
of;0;0
highways;0;0
in;0;0
San;5;5
Antonio;6;6
,;6;0
Texas;6;5
# New sentence = ' '' Portugal '' ';;0
';0;0
'';0;0
Portugal;5;5
'';0;0
';0;0
# New sentence = ' '' Juraj Haulik '' 'acting ( 1788–1869 );;0
';0;0
'';0;0
Juraj;1;1
Haulik;2;2
'';0;0
'acting;0;0
(;0;0
1788–1869;0;0
);0;0
# New sentence = Albert A. Rollestone;;0
Albert;1;1
A.;2;2
Rollestone;2;2
# New sentence = CenturyLink Center Omaha;;0
CenturyLink;5;3
Center;6;4
Omaha;6;4
# New sentence = '' Video Village '';;0
'';0;0
Video;0;3
Village;0;4
'';0;0
# New sentence = `` The Indian Railways became loss-making in her two-year tenure .;;0
``;0;0
The;0;3
Indian;3;4
Railways;4;4
became;0;0
loss-making;0;0
in;0;0
her;0;0
two-year;0;0
tenure;0;0
.;0;0
# New sentence = Hove Rugby Football Club;;0
Hove;3;3
Rugby;4;4
Football;4;4
Club;4;4
# New sentence = Eric van de Poele Fermín Velez;;0
Eric;1;1
van;2;2
de;2;2
Poele;2;2
Fermín;2;2
Velez;2;2
# New sentence = Queenscliff , New South Wales;;0
Queenscliff;5;5
,;6;0
New;6;5
South;6;6
Wales;6;6
# New sentence = Mueang Nonthaburi District;;0
Mueang;5;5
Nonthaburi;6;6
District;6;6
# New sentence = Simi Valley , California;;0
Simi;5;5
Valley;6;6
,;6;0
California;6;5
# New sentence = Sir Robert Bird , 2nd Baronet;;0
Sir;1;0
Robert;2;1
Bird;2;2
,;0;0
2nd;0;0
Baronet;0;0
# New sentence = Saint Peter 's Peacocks and Peahens;;0
Saint;3;3
Peter;4;4
's;4;4
Peacocks;4;4
and;4;4
Peahens;4;4
# New sentence = Areva ( 3.32 % );;0
Areva;3;3
(;0;0
03.32;0;0
%;0;0
);0;0
# New sentence = Haoud El Hamra to Arzew;;0
Haoud;0;5
El;0;6
Hamra;0;6
to;0;0
Arzew;0;5
# New sentence = Manistique City , Schoolcraft County;;0
Manistique;5;5
City;6;6
,;6;0
Schoolcraft;6;5
County;6;6
# New sentence = • Korlaće ( 529 );;0
•;0;0
Korlaće;0;5
(;0;0
529;0;0
);0;0
# New sentence = Toronto , Ontario , Canada;;0
Toronto;5;5
,;6;0
Ontario;6;5
,;6;0
Canada;6;5
# New sentence = Eurasian dotterel , ''Charadrius morinellus '';;0
Eurasian;0;0
dotterel;0;0
,;0;0
''Charadrius;0;0
morinellus;0;0
'';0;0
# New sentence = Audre Lorde Samuel R. Delany Alice Walker May Sarton Edmund White;;0
Audre;1;1
Lorde;2;2
Samuel;1;1
R.;2;2
Delany;2;2
Alice;1;1
Walker;2;2
May;1;1
Sarton;2;2
Edmund;1;1
White;2;2
# New sentence = Arboretum de Vendresse , Vendresse;;0
Arboretum;5;5
de;6;6
Vendresse;6;6
,;6;0
Vendresse;6;5
# New sentence = She attended Mary Carroll High School .;;0
She;0;0
attended;0;0
Mary;3;3
Carroll;4;4
High;4;4
School;4;4
.;0;0
# New sentence = He explained his reasons for doing so in an article in the Bangkok Post '' :;;0
He;0;0
explained;0;0
his;0;0
reasons;0;0
for;0;0
doing;0;0
so;0;0
in;0;0
an;0;0
article;0;0
in;0;0
the;0;0
Bangkok;3;3
Post;4;4
'';0;0
:;0;0
# New sentence = 2006 : The Coast Is Clear '';;0
2006;0;0
:;0;0
The;0;0
Coast;0;0
Is;0;0
Clear;0;0
'';0;0
# New sentence = Michael McDowell ( 2005 );;0
Michael;1;1
McDowell;2;2
(;0;0
2005;0;0
);0;0
# New sentence = Sunnen ( St. Louis MetroLink );;0
Sunnen;5;5
(;6;0
St.;6;3
Louis;6;4
MetroLink;6;4
);6;0
# New sentence = *2006 : Prayers & Observations '' , with Torun Eriksen;;0
*2006;0;0
:;0;0
Prayers;0;0
&;0;0
Observations;0;0
'';0;0
,;0;0
with;0;0
Torun;1;1
Eriksen;2;2
# New sentence = LaRue County , Kentucky;;0
LaRue;5;5
County;6;6
,;6;0
Kentucky;6;5
# New sentence = Frederick I , Margrave of Meissen , son of Albert II , Margrave of Meissen and Margaret of Sicily , daughter of Frederick II , Holy Roman Emperor .;;0
Frederick;1;1
I;2;2
,;0;0
Margrave;0;1
of;0;0
Meissen;0;0
,;0;0
son;0;0
of;0;0
Albert;1;1
II;2;2
,;0;0
Margrave;0;1
of;0;0
Meissen;0;0
and;0;0
Margaret;1;1
of;2;0
Sicily;2;0
,;0;0
daughter;0;0
of;0;0
Frederick;1;1
II;2;2
,;0;0
Holy;0;0
Roman;0;0
Emperor;0;0
.;0;0
# New sentence = alt=A view of a long bridge over water : a number of cars are visible in the left hand lane;;0
alt=A;0;0
view;0;0
of;0;0
a;0;0
long;0;0
bridge;0;0
over;0;0
water;0;0
:;0;0
a;0;0
number;0;0
of;0;0
cars;0;0
are;0;0
visible;0;0
in;0;0
the;0;0
left;0;0
hand;0;0
lane;0;0
# New sentence = Interview with Granta ( October 5 , 2013 );;0
Interview;0;0
with;0;0
Granta;3;3
(;0;0
October;0;0
5;0;0
,;0;0
2013;0;0
);0;0
# New sentence = Georgia Bureau of Investigation;;0
Georgia;3;3
Bureau;4;4
of;4;4
Investigation;4;4
# New sentence = Barry McGee ( TWIST );;0
Barry;1;1
McGee;2;2
(;0;0
TWIST;0;3
);0;0
# New sentence = 2008 NBA Development League Expansion Draft;;0
2008;0;0
NBA;3;3
Development;4;4
League;4;4
Expansion;0;0
Draft;0;0
# New sentence = Madonna ( 1 );;0
Madonna;1;1
(;0;0
1;0;0
);0;0
# New sentence = : Zanesville City School District , Zanesville;;0
:;0;0
Zanesville;5;3
City;6;4
School;6;4
District;6;4
,;6;0
Zanesville;6;5
# New sentence = 2006–07 NFL playoffs;;0
2006–07;0;0
NFL;3;3
playoffs;0;0
# New sentence = '' Manny Delcarmen '' ( 2005 );;0
'';0;0
Manny;1;1
Delcarmen;2;2
'';0;0
(;0;0
2005;0;0
);0;0
# New sentence = Story of a Heart '';;0
Story;0;0
of;0;0
a;0;0
Heart;0;0
'';0;0
# New sentence = Great spotted cuckoo , ''Clamator glandarius '';;0
Great;0;0
spotted;0;0
cuckoo;0;0
,;0;0
''Clamator;0;0
glandarius;0;0
'';0;0
# New sentence = *2 : James H. Berry ( D );;0
*2;0;0
:;0;0
James;1;1
H.;2;2
Berry;2;2
(;0;0
D;0;0
);0;0
# New sentence = Hawthorn Group / Coosawhatchie Formation;;0
Hawthorn;5;3
Group;6;4
/;0;0
Coosawhatchie;5;5
Formation;6;6
# New sentence = Moisés Arias as Bonzo;;0
Moisés;1;1
Arias;2;2
as;0;0
Bonzo;1;1
# New sentence = Thank Your Lucky Stars ( TV series );;0
Thank;0;0
Your;0;0
Lucky;0;0
Stars;0;0
(;0;0
TV;0;0
series;0;0
);0;0
# New sentence = Union Monument , Târgu Lăpuș;;0
Union;5;0
Monument;6;0
,;6;0
Târgu;6;5
Lăpuș;6;6
# New sentence = Mangalpur of Jajpur district , Odisha .;;0
Mangalpur;5;5
of;0;0
Jajpur;5;5
district;6;6
,;6;0
Odisha;6;5
.;0;0
# New sentence = C. E. Webber;;0
C.;1;1
E.;2;2
Webber;2;2
# New sentence = `` Solid Rock '' ( Desperation Band song );;0
``;0;0
Solid;0;0
Rock;0;0
'';0;0
(;0;0
Desperation;0;3
Band;0;4
song;0;0
);0;0
# New sentence = Mustafakemalpaşa , since 2011;;0
Mustafakemalpaşa;5;5
,;0;0
since;0;0
2011;0;0
# New sentence = Ahmedabad District ( India );;0
Ahmedabad;5;5
District;6;6
(;6;0
India;6;5
);6;0
# New sentence = Returning to the East Coast , she decommissioned at Norfolk , Virginia , 19 April 1946 .;;0
Returning;0;0
to;0;0
the;0;0
East;5;0
Coast;6;0
,;0;0
she;0;0
decommissioned;0;0
at;0;0
Norfolk;5;5
,;6;0
Virginia;6;5
,;0;0
19;0;0
April;0;0
1946;0;0
.;0;0
# New sentence = United Kingdom of Great Britain and Ireland ( 1801–1922 );;0
United;5;5
Kingdom;6;6
of;6;6
Great;6;6
Britain;6;6
and;6;6
Ireland;6;6
(;0;0
1801–1922;0;0
);0;0
# New sentence = Daniel Buren , 1985 , 1988;;0
Daniel;1;1
Buren;2;2
,;0;0
1985;0;0
,;0;0
1988;0;0
# New sentence = Black Cat '' 62 ( 1958 );;0
Black;0;0
Cat;0;0
'';0;0
62;0;0
(;0;0
1958;0;0
);0;0
# New sentence = In 1988 he was the inaugural curator of the Liverpool Bicentennial Museum .;;0
In;0;0
1988;0;0
he;0;0
was;0;0
the;0;0
inaugural;0;0
curator;0;0
of;0;0
the;0;0
Liverpool;3;3
Bicentennial;4;4
Museum;4;4
.;0;0
# New sentence = It is found in New Guinea ( Fergusson Island ) .;;0
It;0;0
is;0;0
found;0;0
in;0;0
New;5;5
Guinea;6;6
(;6;0
Fergusson;6;5
Island;6;6
);6;0
.;0;0
# New sentence = Tony Parisi ( software developer );;0
Tony;1;1
Parisi;2;2
(;0;0
software;0;0
developer;0;0
);0;0
# New sentence = Park So-yeon ( singer );;0
Park;1;1
So-yeon;2;2
(;0;0
singer;0;0
);0;0
# New sentence = John Patten ( representative );;0
John;1;1
Patten;2;2
(;0;0
representative;0;0
);0;0
# New sentence = Districts of Espoo;;0
Districts;0;0
of;0;0
Espoo;5;5
# New sentence = Charles Champagne ( MLA for Deux-Montagnes );;0
Charles;1;1
Champagne;2;2
(;0;0
MLA;0;0
for;0;0
Deux-Montagnes;3;5
);0;0
# New sentence = Some of his colleagues at PRADAN were Deep Joshi and Sankar Datta;;0
Some;0;0
of;0;0
his;0;0
colleagues;0;0
at;0;0
PRADAN;3;3
were;0;0
Deep;1;1
Joshi;2;2
and;0;0
Sankar;1;1
Datta;2;2
# New sentence = National Assembly for Wales;;0
National;0;3
Assembly;0;4
for;0;4
Wales;3;4
# New sentence = '' Colotis evagore antigone '' ( Boisduval , 1836 );;0
'';0;0
Colotis;0;0
evagore;0;0
antigone;0;0
'';0;0
(;0;0
Boisduval;1;1
,;0;0
1836;0;0
);0;0
# New sentence = Guru Ghasidas , ( 1987 );;0
Guru;1;1
Ghasidas;2;2
,;0;0
(;0;0
1987;0;0
);0;0
# New sentence = '' Mikhail Botvinnik '' ';;0
'';0;0
Mikhail;1;1
Botvinnik;2;2
'';0;0
';0;0
# New sentence = *The Gateway Theatre in Chicago;0;0
*The;0;3
Gateway;5;4
Theatre;6;4
in;0;0
Chicago;5;5
# New sentence = In the 13th century CE , portions were controlled by the Republic of Venice and by the Republic of Genoa .;;0
In;0;0
the;0;0
13th;0;0
century;0;0
CE;0;0
,;0;0
portions;0;0
were;0;0
controlled;0;0
by;0;0
the;0;0
Republic;3;3
of;4;4
Venice;4;4
and;0;0
by;0;0
the;0;0
Republic;3;3
of;4;4
Genoa;4;4
.;0;0
# New sentence = Kruščica ( Konjic );;0
Kruščica;5;5
(;6;0
Konjic;6;5
);6;0
# New sentence = He did not return to Japan until late April .;;0
He;0;0
did;0;0
not;0;0
return;0;0
to;0;0
Japan;5;5
until;0;0
late;0;0
April;0;0
.;0;0
# New sentence = Castries , 79.5 km²;;0
Castries;5;5
,;0;0
79.05.00;0;0
km²;0;0
# New sentence = : Portrayed by Patricia Belcher;;0
:;0;0
Portrayed;0;0
by;0;0
Patricia;1;1
Belcher;2;2
# New sentence = Edvard Mirzoyan ( Born 1921 );;0
Edvard;1;1
Mirzoyan;2;2
(;0;0
Born;0;0
1921;0;0
);0;0
# New sentence = Carlos Jurado ( 2007 );;0
Carlos;1;0
Jurado;2;0
(;0;0
2007;0;0
);0;0
# New sentence = *1867 : With the Kingdom of Prussia , the Province of Pomerania and Pomerelia within the Province of Prussia join the North German Confederation ( 1867–1871 );;0
*1867;0;0
:;0;0
With;0;0
the;0;0
Kingdom;5;5
of;6;6
Prussia;6;6
,;0;0
the;0;0
Province;5;5
of;6;6
Pomerania;6;6
and;0;0
Pomerelia;5;0
within;0;0
the;0;0
Province;5;5
of;6;6
Prussia;6;6
join;0;0
the;0;0
North;5;3
German;6;4
Confederation;6;4
(;0;0
1867–1871;0;0
);0;0
# New sentence = Tilius '' Chaudoir , 1876;;0
Tilius;0;1
'';0;0
Chaudoir;1;2
,;0;0
1876;0;0
# New sentence = He was born in Vågå .;;0
He;0;0
was;0;0
born;0;0
in;0;0
Vågå;5;5
.;0;0
# New sentence = Joseph Nechvatal ];;0
Joseph;1;1
Nechvatal;2;2
];0;0
# New sentence = `` He soon disappeared in Georgia where he was treated for an injury , appearing publcily in the presence of President of Georgia Eduard Shevardnadze , later reportedly moving to Nazran in Ingushetia .;;0
``;0;0
He;0;0
soon;0;0
disappeared;0;0
in;0;0
Georgia;5;5
where;0;0
he;0;0
was;0;0
treated;0;0
for;0;0
an;0;0
injury;0;0
,;0;0
appearing;0;0
publcily;0;0
in;0;0
the;0;0
presence;0;0
of;0;0
President;0;0
of;0;0
Georgia;3;0
Eduard;1;1
Shevardnadze;2;2
,;0;0
later;0;0
reportedly;0;0
moving;0;0
to;0;0
Nazran;5;5
in;6;0
Ingushetia;6;5
.;0;0
# New sentence = Communes of the Seine-et-Marne department;;0
Communes;0;0
of;0;0
the;0;0
Seine-et-Marne;3;5
department;4;0
# New sentence = The family moved to Louisville , Kentucky in the mid-1980s , where he attended Ballard High School and first assembled his band , Goshen .;;0
The;0;0
family;0;0
moved;0;0
to;0;0
Louisville;5;5
,;6;0
Kentucky;6;5
in;0;0
the;0;0
mid-1980s;0;0
,;0;0
where;0;0
he;0;0
attended;0;0
Ballard;3;3
High;4;4
School;4;4
and;0;0
first;0;0
assembled;0;0
his;0;0
band;0;0
,;0;0
Goshen;0;0
.;0;0
# New sentence = Names for United States citizens;;0
Names;0;0
for;0;0
United;5;0
States;6;0
citizens;0;0
# New sentence = '' Zelleria hepariella '' Stainton , 1849;;0
'';0;0
Zelleria;0;0
hepariella;0;0
'';0;0
Stainton;1;1
,;0;0
1849;0;0
# New sentence = : : : : '' B. '';;0
:;0;0
:;0;0
:;0;0
:;0;0
'';0;0
B.;0;0
'';0;0
# New sentence = ' '' Hansel Robles '' ' ( 0–1 );;0
';0;0
'';0;0
Hansel;1;1
Robles;2;2
'';0;0
';0;0
(;0;0
0–1;0;0
);0;0
# New sentence = ' '' John III of Portugal '' '1502–1557;;0
';0;0
'';0;0
John;1;1
III;2;2
of;2;0
Portugal;2;0
'';0;0
'1502–1557;0;0
# New sentence = 20px ' '' Gabrovo '' ' , Bulgaria;;0
20px;0;0
';0;0
'';0;0
Gabrovo;5;5
'';0;0
';0;0
,;0;0
Bulgaria;5;5
# New sentence = He was educated at Eton College from 1616 to 1626 .;;0
He;0;0
was;0;0
educated;0;0
at;0;0
Eton;3;3
College;4;4
from;0;0
1616;0;0
to;0;0
1626;0;0
.;0;0
# New sentence = Pharaquta ( Puno );;0
Pharaquta;5;5
(;6;0
Puno;6;5
);6;0
# New sentence = Chimanlal Girdharlal Road;;0
Chimanlal;5;5
Girdharlal;6;6
Road;6;6
# New sentence = Past winners include Ian Paisley , David Hockney , Eileen Atkins , Stanley Baxter , and Moira Stuart .;;0
Past;0;0
winners;0;0
include;0;0
Ian;1;1
Paisley;2;2
,;0;0
David;1;1
Hockney;2;2
,;0;0
Eileen;1;1
Atkins;2;2
,;0;0
Stanley;1;1
Baxter;2;2
,;0;0
and;0;0
Moira;1;1
Stuart;2;2
.;0;0
# New sentence = Kevin Love ( 21 );;0
Kevin;1;1
Love;2;2
(;0;0
21;0;0
);0;0
# New sentence = Bumble Bee Foods;;0
Bumble;3;3
Bee;4;4
Foods;4;4
# New sentence = PS1491 by John Tesh;;0
PS1491;0;0
by;0;0
John;1;1
Tesh;2;2
# New sentence = 98th Expeditionary Air Refueling Squadron;0;0
98th;0;3
Expeditionary;0;4
Air;0;4
Refueling;0;4
Squadron;0;4
# New sentence = He moved to a portion of his properties at Canfield , Ohio in October 1802 and made his permanent home there .;;0
He;0;0
moved;0;0
to;0;0
a;0;0
portion;0;0
of;0;0
his;0;0
properties;0;0
at;0;0
Canfield;5;5
,;6;0
Ohio;6;5
in;0;0
October;0;0
1802;0;0
and;0;0
made;0;0
his;0;0
permanent;0;0
home;0;0
there;0;0
.;0;0
# New sentence = Henry Rollins – Robotman;;0
Henry;1;1
Rollins;2;2
–;0;0
Robotman;0;0
# New sentence = Governor of Western Australia as a Crown Colony — Captain Charles Fitzgerald;;0
Governor;0;0
of;0;0
Western;3;5
Australia;4;6
as;0;0
a;0;0
Crown;0;0
Colony;0;0
—;0;0
Captain;1;0
Charles;2;1
Fitzgerald;2;2
# New sentence = 1973 – Dover , NH;;0
1973;0;0
–;0;0
Dover;5;5
,;6;0
NH;6;5
# New sentence = ' '' Giathenge '' ' is a settlement in Kenya 's Central Province .;;0
';0;0
'';0;0
Giathenge;0;5
'';0;0
';0;0
is;0;0
a;0;0
settlement;0;0
in;0;0
Kenya;5;5
's;6;0
Central;6;5
Province;6;6
.;0;0
# New sentence = Oman , Muscat Governorate , Muttrah;;0
Oman;5;5
,;6;0
Muscat;6;5
Governorate;6;6
,;6;0
Muttrah;6;5
# New sentence = National Register of Historic Places listings in Newton , Massachusetts;;0
National;0;3
Register;0;4
of;0;4
Historic;0;4
Places;0;4
listings;0;0
in;0;0
Newton;5;5
,;6;0
Massachusetts;6;5
# New sentence = Bruce Atherton Smith;;0
Bruce;1;1
Atherton;2;2
Smith;2;2
# New sentence = South River , New Jersey 2.10 %;;0
South;5;5
River;6;6
,;6;0
New;6;5
Jersey;6;6
02.10;0;0
%;0;0
# New sentence = ' '' Pasadena City College '' ';;0
';0;0
'';0;0
Pasadena;5;3
City;6;4
College;6;4
'';0;0
';0;0
# New sentence = '' Halliwell 's Who 's Who in the Movies '' HarperCollins ISBN 0-06-093507-3;;0
'';0;0
Halliwell;0;0
's;0;0
Who;0;0
's;0;0
Who;0;0
in;0;0
the;0;0
Movies;0;0
'';0;0
HarperCollins;3;3
ISBN;0;0
0-06-093507-3;0;0
# New sentence = `` That 's My Goal '';;0
``;0;0
That;0;0
's;0;0
My;0;0
Goal;0;0
'';0;0
# New sentence = Chapman , Pasadena , California;;0
Chapman;5;5
,;6;0
Pasadena;6;5
,;6;0
California;6;5
# New sentence = Simon Williams ( chess player );;0
Simon;1;1
Williams;2;2
(;0;0
chess;0;0
player;0;0
);0;0
# New sentence = *The Rawadid ( 955–1221 ) ruled Azerbaijan .;;0
*The;3;0
Rawadid;4;0
(;0;0
955–1221;0;0
);0;0
ruled;0;0
Azerbaijan;5;5
.;0;0
# New sentence = The Martin Short Show '';;0
The;0;0
Martin;1;0
Short;2;0
Show;0;0
'';0;0
# New sentence = Dwyane Wade ( 32 );;0
Dwyane;1;1
Wade;2;2
(;0;0
32;0;0
);0;0
# New sentence = He died at Ealing , Middlesex , on 8 January 1982 .;;0
He;0;0
died;0;0
at;0;0
Ealing;5;5
,;6;0
Middlesex;6;5
,;0;0
on;0;0
8;0;0
January;0;0
1982;0;0
.;0;0
# New sentence = The project is estimated to take 14-18 months to complete , and will provide more than 1,200 jobs to the Ark-La-Tex .;;0
The;0;0
project;0;0
is;0;0
estimated;0;0
to;0;0
take;0;0
14-18;0;0
months;0;0
to;0;0
complete;0;0
,;0;0
and;0;0
will;0;0
provide;0;0
more;0;0
than;0;0
1,2;0;0
jobs;0;0
to;0;0
the;0;0
Ark-La-Tex;5;3
.;0;0
# New sentence = ' '' Leading trainer since 1987 ( 2 wins ) : ' '';;0
';0;0
'';0;0
Leading;0;0
trainer;0;0
since;0;0
1987;0;0
(;0;0
2;0;0
wins;0;0
);0;0
:;0;0
';0;0
'';0;0
# New sentence = Paul McDonald Calvo and Felix Camacho .;;0
Paul;1;1
McDonald;2;2
Calvo;2;2
and;0;0
Felix;1;1
Camacho;2;2
.;0;0
# New sentence = He was appointed Bishop of Bristol in 1782 , Bishop of Norwich in 1783 and Bishop of St Asaph 1790 .;;0
He;0;0
was;0;0
appointed;0;0
Bishop;0;0
of;0;0
Bristol;5;5
in;0;0
1782;0;0
,;0;0
Bishop;0;0
of;0;0
Norwich;5;5
in;0;0
1783;0;0
and;0;0
Bishop;0;0
of;0;0
St;5;0
Asaph;6;5
1790;0;0
.;0;0
# New sentence = Steeple , 819 m ( 2,687 ft );;0
Steeple;5;0
,;0;0
819;0;0
m;0;0
(;0;0
2,687;0;0
ft;0;0
);0;0
# New sentence = His family took him to visit the Imam Husayn Shrine at the age of two .;;0
His;0;0
family;0;0
took;0;0
him;0;0
to;0;0
visit;0;0
the;0;0
Imam;5;5
Husayn;6;6
Shrine;6;6
at;0;0
the;0;0
age;0;0
of;0;0
two;0;0
.;0;0
# New sentence = The song `` Suffocating '' has been covered by Orianthi on her debut album Believe '' .;;0
The;0;0
song;0;0
``;0;0
Suffocating;0;0
'';0;0
has;0;0
been;0;0
covered;0;0
by;0;0
Orianthi;1;1
on;0;0
her;0;0
debut;0;0
album;0;0
Believe;0;0
'';0;0
.;0;0
# New sentence = Fulton , Alabama;0;0
Fulton;5;5
,;6;0
Alabama;6;5
